"Omschrijving";"Aankomst";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"voorraad";;43;282;43170,00;0;0,00;34303,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"omzet garanties";;86;620;62400,40;576;69211,51;54173,80;0,00;0,00;0,00;0,00;0,00;0,00;222,77;0,00;0,00;54396,57;14814,94;21,41;0,00
"omzet overig";;42;322;48172,00;280;48813,25;39954,31;0,00;0,00;0,00;0,00;0,00;0,00;143,31;0,00;0,00;40097,62;8715,63;17,86;0,00
"totaal";;171;1224;153742,40;856;118024,76;128432,05;0,00;0,00;0,00;0,00;0,00;0,00;366,08;0,00;0,00;94494,19;23530,57;19,94;0,00

"garantie";01-06-2013;1;10;1099,00;0;0,00;879,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;12;1199,00;0;0,00;959,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;16;1599,00;0;0,00;1279,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;14;1260,00;0;0,00;1008,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;12;1233,00;0;0,00;1233,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;12;1233,00;0;0,00;1233,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;10;895,00;0;0,00;650,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";29-06-2013;1;10;1095,00;0;0,00;850,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";13-07-2013;1;10;1295,00;0;0,00;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
