"Omschrijving";"Aankomst";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"voorraad";;25;143;24805,00;0;0,00;19428,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"omzet garanties";;104;762;79301,40;684;86593,41;66002,60;0,00;0,00;0,00;0,00;0,00;0,00;332,73;0,00;0,00;66335,33;20258,08;23,39;0,00
"omzet overig";;110;786;117060,00;660;121593,67;96192,34;554,00;0,00;0,00;0,00;0,00;0,00;518,62;0,00;0,00;97264,96;24328,71;20,01;0,00
"totaal";;239;1691;221166,40;1344;208187,08;181623,13;554,00;0,00;0,00;0,00;0,00;0,00;851,35;0,00;0,00;163600,29;44586,79;21,42;0,00

"garantie";01-06-2013;1;16;1599,00;0;0,00;1279,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";29-06-2013;1;10;1095,00;0;0,00;850,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";13-07-2013;1;10;1295,00;0;0,00;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;2;742,00;0;0,00;645,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;3;903,00;0;0,00;713,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;3;903,00;0;0,00;713,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;3;903,00;0;0,00;713,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;3;903,00;0;0,00;713,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"garantie";01-06-2013;1;3;903,00;0;0,00;713,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
