"Omschrijving";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"Z12015174";1;10;775,00;6;795,00;596,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;596,75;198,25;24,94;0,00
"Z12015175";1;9;1870,00;9;1703,00;1496,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1496,00;207,00;12,16;0,00
"I12015178";1;6;912,00;5;930,00;729,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;729,60;200,40;21,55;0,00
"I12015179";1;4;1540,00;4;1560,00;1232,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1232,00;328,00;21,03;0,00
"Z12015180";1;10;600,00;5;1210,00;462,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;462,00;748,00;61,82;0,00
"Z12015181";1;10;600,00;6;1210,00;462,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;462,00;748,00;61,82;0,00
"I12015189";1;5;1120,00;4;1200,00;1010,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1010,00;190,00;15,83;0,00
"I12015190";1;6;1631,00;5;1755,19;1304,80;0,00;0,00;0,00;0,00;0,00;0,00;68,29;0,00;0,00;1373,09;382,10;21,77;0,00
"Z12015199";1;4;245,00;2;288,84;196,00;0,00;0,00;0,00;0,00;0,00;0,00;13,69;0,00;0,00;209,69;79,15;27,40;0,00
"Z12015206";1;6;1706,00;4;1550,00;1228,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1228,32;321,68;20,75;0,00
"Z12015217";1;10;700,00;8;720,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;181,00;25,14;0,00
"Z12015218";1;8;1330,00;7;1217,00;1064,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1064,00;153,00;12,57;0,00
"Z12015222";1;10;400,00;8;420,00;308,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;308,00;112,00;26,67;0,00
"Z12015223";1;12;600,00;12;600,00;462,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;462,00;138,00;23,00;0,00
"Z12015224";1;12;600,00;12;600,00;462,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;462,00;138,00;23,00;0,00
"Z12015225";1;18;800,00;16;800,00;616,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;616,00;184,00;23,00;0,00
"Z12015226";1;18;800,00;16;800,00;616,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;616,00;184,00;23,00;0,00
"Z12015237";1;6;1611,42;6;1667,00;1369,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1369,71;297,29;17,83;0,00
"Z12015240";1;8;1470,00;8;1343,00;1176,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1176,00;167,00;12,43;0,00
"Z12015243";1;12;529,00;4;545,00;423,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;423,20;121,80;22,35;0,00
"Z12015244";1;6;643,00;4;660,00;514,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;514,40;145,60;22,06;0,00
"Z12015249";1;10;400,00;8;400,00;308,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;308,00;92,00;23,00;0,00
"V12015251";1;12;1900,00;7;1425,00;1330,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1330,00;95,00;6,67;0,00
"I12015252";1;4;480,00;2;533,11;360,00;0,00;0,00;0,00;0,00;0,00;0,00;26,50;0,00;0,00;386,50;146,61;27,50;0,00
"I12015253";1;2;543,00;2;598,03;407,25;0,00;0,00;0,00;0,00;0,00;0,00;29,77;0,00;0,00;437,02;161,01;26,92;0,00
"Z12015256";1;24;1975,00;15;2120,00;1580,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1580,00;540,00;25,47;0,00
"V12015263";1;16;2050,00;10;1537,50;1435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1435,00;102,50;6,67;0,00
"Z12015264";1;8;2660,00;4;2414,00;2128,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2128,00;286,00;11,85;0,00
"V12015266";1;12;1700,00;6;1275,00;1190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1190,00;85,00;6,67;0,00
"Z12015269";1;4;480,00;2;500,00;360,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;360,00;140,00;28,00;0,00
