"Omschrijving";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"voorraad";0;0;0,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"omzet garanties";0;0;0,00;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"omzet overig";2;28;8230,00;28;8368,00;7317,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7317,50;1050,50;12,55;0,00
"totaal";2;28;8230,00;28;8368,00;7317,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7317,50;1050,50;12,55;0,00

"C12015024";1;14;3750,00;14;3868,00;3285,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3285,50;582,50;15,06;0,00
"C12015250";1;14;4480,00;14;4500,00;4032,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4032,00;468,00;10,40;0,00
