"Omschrijving";"Aankomst";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"B12115093";02-02-2013;1;16;2500,00;12;5180,00;2050,00;0,00;2352,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4402,00;778,00;15,02;0,00
"B12115094";16-03-2013;1;14;3320,00;11;2840,00;2314,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2314,04;525,96;18,52;0,00
"C12115095";30-03-2013;1;12;3310,00;10;6355,29;2896,25;0,00;2352,00;0,00;0,00;0,00;0,00;283,42;0,00;0,00;5531,67;823,62;12,96;0,00
"B12115096";16-03-2013;1;8;1890,00;7;1944,94;1549,80;0,00;0,00;0,00;0,00;0,00;0,00;24,34;0,00;0,00;1574,14;370,80;19,06;0,00
"C12115097";22-12-2012;1;8;2551,00;6;4402,50;2104,57;0,00;1105,92;540,09;0,00;0,00;0,00;0,00;0,00;0,00;3750,58;651,92;14,81;526,14
"C12115098";06-03-2013;1;35;7150,00;22;7280,00;6292,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6292,00;988,00;13,57;10000,00
"B12115099";26-01-2013;1;8;690,00;4;1260,00;496,80;0,00;438,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;935,60;324,40;25,75;0,00
"E12115100";02-03-2013;1;12;3000,00;12;2550,00;1650,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1650,00;900,00;35,29;0,00
"C12115101";09-03-2013;1;13;1621,00;8;1805,00;1621,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-129,68;0,00;1491,32;313,68;17,38;0,00
"C12115103";02-02-2013;1;17;3471,00;14;3870,00;2577,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2577,21;1292,79;33,41;0,00
"C12115104";29-12-2012;1;8;1890,00;7;3272,50;1512,00;0,00;982,80;190,00;0,00;0,00;0,00;0,00;0,00;0,00;2684,80;587,70;17,96;0,00
"B12115105";30-03-2013;1;12;0,00;10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"C12115106";23-02-2013;1;8;2135,00;7;3175,00;2280,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2280,00;895,00;28,19;0,00
"C12115107";02-02-2013;1;12;2990,00;11;3010,00;2451,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2451,80;558,20;18,54;0,00
"C12115108";26-01-2013;1;14;2898,00;13;6232,50;2898,00;0,00;2028,52;445,04;0,00;0,00;0,00;0,00;-231,84;0,00;5139,72;1092,78;17,53;0,00
"C12115110";23-02-2013;1;10;2642,00;9;2836,67;1396,55;0,00;0,00;0,00;0,00;0,00;0,00;118,65;0,00;0,00;1515,20;1321,47;46,59;0,00
"C12115111";19-01-2013;1;12;2410,00;11;5312,25;2108,75;0,00;2236,85;68,76;0,00;0,00;0,00;18,53;0,00;0,00;4432,89;879,36;16,55;0,00
"E12115112";23-03-2013;1;8;2865,00;8;2885,00;2292,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2292,00;593,00;20,55;0,00
"C12115113";26-03-2013;1;14;1950,00;13;1570,00;650,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;650,00;920,00;58,60;0,00
"C12115114";09-02-2013;1;10;2830,00;8;3039,12;2320,60;0,00;0,00;0,00;0,00;0,00;0,00;127,17;0,00;0,00;2447,77;591,35;19,46;0,00
"C12115115";19-01-2013;1;14;4200,00;13;7144,32;3570,00;0,00;2643,55;0,00;0,00;0,00;0,00;42,87;0,00;0,00;6256,42;887,90;12,43;893,00
"C12115116";09-02-2013;1;4;379,00;2;730,00;257,72;0,00;337,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;595,12;134,88;18,48;0,00
"C12115117";16-02-2013;1;10;2810,00;10;2830,00;2304,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2304,20;525,80;18,58;0,00
"C12115118";26-01-2013;1;8;915,00;6;2677,50;1060,00;0,00;1127,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2187,00;490,50;18,32;0,00
"C12115119";23-02-2013;1;8;4395,00;7;5796,10;3472,05;0,00;847,50;0,00;0,00;0,00;0,00;243,14;0,00;0,00;4562,69;1233,41;21,28;0,00
"C12115120";09-03-2013;1;12;3637,00;9;5888,00;3031,33;63,00;2028,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5122,93;765,07;12,99;757,83
"C12115121";16-02-2013;1;8;1322,00;8;1475,00;1322,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-105,76;0,00;1216,24;258,76;17,54;0,00
"C12115122";12-01-2013;1;6;630,00;6;826,00;673,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;673,00;153,00;18,52;0,00
"C12115123";30-03-2013;1;6;630,00;6;826,00;673,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;673,00;153,00;18,52;0,00
"B12115124";02-02-2013;1;11;1498,00;7;1695,89;1498,00;0,00;0,00;0,00;0,00;0,00;0,00;21,23;-119,84;0,00;1399,39;296,50;17,48;0,00
"C12115125";23-02-2013;1;8;4395,00;6;5725,00;3472,05;0,00;1149,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4621,05;1103,95;19,28;0,00
"C12115127";16-02-2013;1;12;6300,00;11;8490,00;5040,00;0,00;2062,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7102,50;1387,50;16,34;0,00
"B12115128";09-03-2013;1;10;1295,00;9;1666,59;1339,50;0,00;0,00;0,00;0,00;0,00;0,00;18,69;0,00;0,00;1358,19;308,40;18,50;0,00
"C12115131";29-12-2012;1;10;4598,00;9;5105,00;3678,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3678,40;1426,60;27,95;0,00
"C12115132";16-03-2013;1;8;2290,00;5;3205,00;1700,33;0,00;1127,00;51,56;0,00;0,00;0,00;0,00;0,00;0,00;2878,89;326,11;10,18;425,08
"B12115133";02-02-2013;1;11;1267,00;8;1665,00;1267,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1267,00;398,00;23,90;0,00
"C12115134";22-12-2012;1;6;3025,00;5;4087,50;2420,00;0,00;921,60;68,76;0,00;0,00;0,00;0,00;0,00;0,00;3410,36;677,14;16,57;0,00
"C12115135";29-12-2012;1;8;2220,00;8;3890,00;1776,00;0,00;1590,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3366,30;523,70;13,46;0,00
"C12115136";29-12-2012;1;8;2220,00;7;3545,00;1776,00;0,00;1231,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3007,20;537,80;15,17;0,00
"C12115138";19-01-2013;1;10;1070,00;10;1728,55;760,00;0,00;0,00;495,00;0,00;0,00;0,00;72,04;0,00;0,00;1327,04;401,51;23,23;0,00
"C12115145";02-02-2013;1;10;1693,00;10;4120,00;1354,40;0,00;2131,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3485,90;634,10;15,39;0,00
"C12115148";09-03-2013;1;6;623,00;4;705,00;533,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;533,97;171,03;24,26;0,00
"E12115149";12-01-2013;1;10;1000,00;10;850,00;400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;400,00;450,00;52,94;0,00
"C12115150";29-12-2012;1;4;757,00;4;1812,50;643,45;0,00;874,00;77,76;0,00;0,00;0,00;0,00;0,00;0,00;1595,21;217,29;11,99;0,00
"B12115152";22-12-2012;1;6;1510,00;6;1657,58;1238,20;0,00;0,00;0,00;0,00;0,00;0,00;87,19;0,00;0,00;1325,39;332,19;20,04;0,00
"B12115153";09-02-2013;1;20;5520,00;17;9255,00;4692,00;0,00;2552,82;579,14;0,00;0,00;0,00;0,00;0,00;0,00;7823,96;1431,04;15,46;0,00
"C12115154";22-12-2012;1;6;1148,00;5;1425,00;1138,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1138,20;286,80;20,13;0,00
"B12115155";09-02-2013;1;6;1423,00;4;2355,00;1138,40;56,00;766,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1960,40;394,60;16,76;0,00
"B12115156";09-02-2013;1;6;1423,00;4;2355,00;1138,40;56,00;766,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1960,40;394,60;16,76;0,00
"C12115157";16-02-2013;1;8;4700,00;6;5900,00;3760,00;0,00;1149,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4909,00;991,00;16,80;0,00
"C12115158";16-03-2013;1;4;952,00;2;1320,00;685,44;0,00;383,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1068,44;251,56;19,06;0,00
"C12115159";02-02-2013;1;8;2095,00;6;2157,00;1822,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1822,75;334,25;15,50;0,00
"C12115160";22-12-2012;1;10;2240,00;9;2604,00;2200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2200,00;404,00;15,51;0,00
"C12115161";12-01-2013;1;8;1695,00;8;1847,50;1356,00;0,00;0,00;98,00;0,00;0,00;0,00;0,00;0,00;0,00;1454,00;393,50;21,30;0,00
"T12115162";09-02-2013;1;10;2695,00;10;2407,40;2000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2000,00;407,40;16,92;0,00
"B12115163";02-02-2013;1;15;2575,00;11;4557,50;1911,94;0,00;1432,20;59,00;0,00;0,00;0,00;0,00;0,00;0,00;3403,14;1154,36;25,33;0,00
"C12115164";05-01-2013;1;6;2184,00;4;2146,05;1631,45;0,00;0,00;0,00;0,00;0,00;0,00;46,38;0,00;0,00;1677,83;468,22;21,82;0,00
"T12115165";19-01-2013;1;8;2490,00;8;5775,64;1992,00;0,00;1626,80;0,00;0,00;1332,00;0,00;31,97;0,00;0,00;4982,77;792,87;13,73;0,00
"T12115166";09-02-2013;1;8;1050,00;8;1303,40;1050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1050,00;253,40;19,44;0,00
"C12115167";29-12-2012;1;6;1215,00;4;1740,00;874,80;0,00;564,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1439,20;300,80;17,29;0,00
"C12115169";12-01-2013;1;10;795,00;6;815,00;350,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;350,00;465,00;57,06;0,00
"C12115170";16-02-2013;1;15;4995,00;12;3715,00;3500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3500,00;215,00;5,79;0,00
"C12115171";02-02-2013;1;18;4865,00;15;7977,50;3612,27;0,00;3151,14;183,74;0,00;0,00;0,00;0,00;0,00;0,00;6947,15;1030,35;12,92;903,07
"C12115172";23-02-2013;1;4;951,00;2;1620,75;808,35;0,00;471,50;58,65;0,00;0,00;0,00;36,73;0,00;0,00;1375,23;245,52;15,15;0,00
"B12115173";02-02-2013;1;5;910,00;5;2132,50;728,00;0,00;1065,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1793,75;338,75;15,89;0,00
"C12115174";16-02-2013;1;12;3495,00;12;3315,00;2500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2500,00;815,00;24,59;0,00
"C12115175";09-02-2013;1;6;800,00;4;1749,58;576,00;0,00;552,00;104,00;0,00;0,00;0,00;82,42;0,00;0,00;1314,42;435,16;24,87;0,00
"B12115176";02-02-2013;1;9;1464,00;8;2820,00;1087,02;0,00;1041,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2128,62;691,38;24,52;0,00
"C12115177";09-02-2013;1;15;3487,00;12;6289,00;2789,60;0,00;1472,80;0,00;102,60;0,00;0,00;0,00;0,00;0,00;4365,00;1924,00;30,59;0,00
"B12115178";09-02-2013;1;18;4595,00;14;3588,95;3200,00;0,00;0,00;0,00;0,00;0,00;0,00;189,87;0,00;0,00;3389,87;199,08;5,55;0,00
"C12115179";12-01-2013;1;8;835,00;4;2330,00;980,00;0,00;766,00;137,52;0,00;0,00;0,00;0,00;0,00;0,00;1883,52;446,48;19,16;0,00
"C12115180";16-02-2013;1;8;3410,00;8;3430,00;2796,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2796,20;633,80;18,48;0,00
"B12115181";02-02-2013;1;6;477,00;6;2035,00;343,44;0,00;834,00;281,00;0,00;0,00;0,00;0,00;0,00;0,00;1458,44;576,56;28,33;0,00
"Q12115182";02-02-2013;1;8;2295,00;8;1950,75;1813,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1813,05;137,70;7,06;0,00
"Q12115183";02-03-2013;1;8;3195,00;8;2715,75;2524,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2524,05;191,70;7,06;0,00
"C12115184";02-03-2013;1;6;910,00;4;1175,00;959,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;959,00;216,00;18,38;0,00
